Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2026|BEST|EQUITY|9647311150|105|134637500|5181360500|2520000|0|2714042611|224674800|225853242|2000|0|8483090653|0|964896102|0|161384809|13494200|0|17445386|0|0|1157220497
31-MAR-2026|BFIN|EQUITY|15039383620|710|365529600|496602180|68634200|176360|2180564348|152254249|7654188|9483400|101814980|3382713505|5728000|996977595|229220434|916854871|3488760|1532155944|76149018|0|7879304333|11639878955
31-MAR-2026|BGTG|EQUITY|23970997103|112|8662300|4975052875|0|0|2521272020|9887600|216|3514837|0|7518389848|0|6083577450|0|62643400|1038800|43352900|1827313705|0|1447000|8019373255
31-MAR-2026|BHAT|EQUITY|5000000000|1405|362420000|2934780175|0|0|457500|476890600|55470000|0|0|3830018275|0|960125625|0|2588900|25400|593600|112200|0|206536000|1169981725
31-MAR-2026|BHIT|EQUITY|86068156705|33|5095000|7269961001|29443900|1000|21125259709|175431160|337867627|2090|46800|28943108287|0|38278707104|0|3053024817|37454840|103399600|1933397279|0|13719054778|57125038418
31-MAR-2026|BIKA|EQUITY|592280000|55|0|0|0|0|592179100|0|0|0|0|592179100|0|700|0|100|0|0|100|0|0|900
31-MAR-2026|BIKE|EQUITY|1293916404|374|0|258705600|0|0|1024122704|0|100|0|0|1282828404|0|2000|0|9960500|25900|0|1099600|0|0|11088000
31-MAR-2026|BIMA|EQUITY|608175716|82|570000|21193900|0|0|44850880|0|19820200|0|0|86434980|0|0|0|100|37000|0|0|0|0|37100
31-MAR-2026|BINA|EQUITY|6134716665|4300|1869069985|2191875821|38878600|0|26132089|99074400|5339591|70|0|4230370556|0|66842600|0|39442|1000|599442450|1034418550|0|142254900|1842998942
31-MAR-2026|BINO|EQUITY|2275316111|120|0|174022700|0|0|148630611|0|100|0|0|322653411|0|1949465800|0|1922900|1274000|0|0|0|0|1952662700
31-MAR-2026|BIPI|EQUITY|63710196917|180|2640912908|27745350325|5567700|0|11367284849|385688400|3493664200|0|6|45638468388|0|2558938418|0|10042888300|10058300|36243000|56619475|0|5366981036|18071728529
31-MAR-2026|BIPP|EQUITY|5028669376|56|0|900757200|21000300|1604280|828428233|9410000|656643|500|0|1761857156|0|3098530395|0|15668000|129177400|0|436500|0|0|3243812295
31-MAR-2026|BIRD|EQUITY|2502100000|1645|23361000|511120591|5033000|0|736819486|22972100|182089|0|3018|1299491284|0|79945352|6281671|35346501|361400|52178438|14918118|0|23557236|212588716
31-MAR-2026|BISI|EQUITY|3000000000|830|0|44365700|0|0|96685838|11160400|133840|0|125000|152470778|20500|178313402|582900|843606793|34291041|55102033|46607420|453197|64239436|1223216722
31-MAR-2026|BJBR|EQUITY|10521443686|810|962868400|25718570|11116355|5538300|1271962543|35705298|48697957|2175760|250049|2364033232|0|14016558|29633554|28079764|206500|103434898|13190743|0|20255106|208817123
31-MAR-2026|BJTM|EQUITY|15015498082|570|456956300|65481387|14130100|23000|2051936007|33905650|99655185|3635300|0|2725722929|0|9673068|67078850|83991644|997100|95657200|22549057|6975500|68704752|355627171
31-MAR-2026|BKDP|EQUITY|7513992252|56|72579|2606082799|0|0|1641131959|22305526|90281|47|0|4269683191|0|0|0|100|44308861|0|100|0|0|44309061
31-MAR-2026|BKSL|EQUITY|167708902705|112|236026500|27761511037|85690000|30|23457813635|2505231100|9714955091|53642500|1568900|63816438793|0|737829449|480700|838869285|190953400|278845864|979859122|0|2327420738|5354258558
31-MAR-2026|BKSW|EQUITY|35158048365|58|0|87230637|0|0|1124195292|289396400|22687|0|100|1500845116|0|0|0|32230216189|367394|0|1074782454|0|0|33305366037
31-MAR-2026|BLES|EQUITY|8890206400|154|0|972832600|0|0|464824400|4267500|0|0|0|1441924500|0|0|0|3230700|51200|0|0|0|0|3281900
31-MAR-2026|BLOG|EQUITY|3379487200|380|2576100|2956717700|6362100|0|404642000|6869700|0|0|0|3377167600|0|200000|0|942700|826900|0|350000|0|0|2319600
31-MAR-2026|BLTA|EQUITY|25181143017|43|28973112|4968170793|88513072|470678|5614675560|657967832|162048790|2928816|9635400|11533384053|0|1436450487|142333865|1673581791|32003998|30535909|104863416|0|1149651439|4569420905
31-MAR-2026|BLTZ|EQUITY|873937142|2700|0|53400|0|0|2006650|0|4100|0|0|2064150|0|0|0|76204300|21800|0|0|0|795283292|871509392
31-MAR-2026|BLUE|EQUITY|418000000|3250|0|120698825|0|0|26239375|0|17799500|0|0|164737700|0|0|0|835900|2395700|0|30700|0|0|3262300
